,Embedding,Num_layers,Size,Dropout,Reg,Gen.,Prec.,Fit.,average
62,Yes,2,32,0.0,0.0001,0.4999764095633952,0.9418750000000002,0.9455089549758815,0.795786788179759
63,Yes,2,32,0.0,0.001,0.6489717826241198,0.9212083333333335,0.9235536016611421,0.8312445725395318
64,Yes,2,32,0.0,0.01,0.0,0.0,0.0,0.0
65,Yes,2,32,0.2,0.0,0.0012376237623762376,0.9443437500000003,0.9521988620681716,0.632593411943516
66,Yes,2,32,0.2,1e-05,0.08973796562765797,0.9424270833333336,0.9495849274302517,0.6605833254637478
67,Yes,2,32,0.2,0.0001,0.8072949539478361,0.9471041666666671,0.9483141779150503,0.9009044328431844
68,Yes,2,32,0.2,0.001,0.23468600482671917,0.3111458333333334,0.31184730884725687,0.28589304900243645
69,Yes,2,32,0.2,0.01,0.0,0.0,0.0,0.0
70,Yes,2,32,0.4,0.0,0.004629629629629629,0.9393750000000002,0.9471723371103785,0.6303923222466694
71,Yes,2,32,0.4,1e-05,0.40443918903800513,0.9420729166666668,0.9465797118432646,0.7643639391826454
72,Yes,2,32,0.4,0.0001,0.8296725372489471,0.9423020833333337,0.9432934520234222,0.9050893575352342
73,Yes,2,32,0.4,0.001,0.11450074295532754,0.12725000000000006,0.12736331966964315,0.12303802087499026
74,Yes,2,32,0.4,0.01,0.0,0.0,0.0,0.0
75,Yes,2,64,0.0,0.0,0.0037107396149949345,0.9473437500000002,0.9552025687626152,0.6354190194592034
76,Yes,2,64,0.0,1e-05,0.03421995347792114,0.9463958333333337,0.9540070831161621,0.6448742899758056
77,Yes,2,64,0.0,0.0001,0.4320472900878375,0.9407916666666669,0.9450141684941061,0.7726177084162035
78,Yes,2,64,0.0,0.001,0.16069967266775778,0.23109375000000004,0.23163957843169763,0.20781100036648517
79,Yes,2,64,0.0,0.01,0.0,0.0,0.0,0.0
80,Yes,2,64,0.2,0.0,0.0,0.9488333333333336,0.9567382802805775,0.6351905378713038
81,Yes,2,64,0.2,1e-05,0.04494949801077547,0.9439583333333335,0.951442036925837,0.6467832894233153
82,Yes,2,64,0.2,0.0001,0.6901825914511652,0.9449479166666668,0.9470945063429068,0.8607416714869128
83,Yes,2,64,0.2,0.001,0.16276315519750734,0.22897916666666668,0.2296124571373519,0.20711825966717531
84,Yes,2,64,0.2,0.01,0.0,0.0,0.0,0.0
85,Yes,2,64,0.4,0.0,0.0,0.9420937500000002,0.9499435882742335,0.6306791127580779
86,Yes,2,64,0.4,1e-05,0.5219394433891843,0.9472395833333337,0.9508661624029789,0.806681729708499
87,Yes,2,64,0.4,0.0001,0.7413893499473866,0.9453333333333335,0.9470738013473324,0.8779321615426842
88,Yes,2,64,0.4,0.001,0.03437057991513437,0.03918750000000003,0.03922999841633315,0.037596026110489185
89,Yes,2,64,0.4,0.01,0.0,0.0,0.0,0.0
90,No,1,16,0.0,0.0,0.015170626231540372,0.9470729166666669,0.9548368068724219,0.6390267832568765
91,No,1,16,0.0,1e-05,0.12530659489222945,0.9477395833333336,0.9545634723726584,0.6758698835327405
92,No,1,16,0.0,0.0001,0.6297452842397323,0.9394895833333334,0.9420855080377928,0.8371067918702861
93,No,1,16,0.0,0.001,0.7045632172966217,0.9300312500000001,0.9319299191599308,0.8555081288188507
94,No,1,16,0.0,0.01,0.7544682953923496,0.9130937500000001,0.914503660073797,0.8606885684887157
95,No,1,16,0.2,0.0,0.02854874975817875,0.9415416666666672,0.9491419194507986,0.6397441119585482
96,No,1,16,0.2,1e-05,0.2487322464116351,0.9436770833333337,0.9495541492929246,0.7139878263459645
97,No,1,16,0.2,0.0001,0.6868723056001901,0.9424479166666669,0.9446055540951137,0.8579752587873236
98,No,1,16,0.2,0.001,0.803451635310582,0.9411875000000002,0.9424096245159437,0.8956829199421753
99,No,1,16,0.2,0.01,0.7333952418971791,0.7754062500000001,0.7757751690950377,0.7615255536640723
100,No,1,16,0.4,0.0,0.03569005918228005,0.9453125000000003,0.9529046960480655,0.6446357517434486
101,No,1,16,0.4,1e-05,0.3921710013968893,0.9423125000000002,0.9469370180314528,0.7604735064761141
102,No,1,16,0.4,0.0001,0.6174110913523754,0.9307812500000002,0.9334236394106821,0.8272053269210192
103,No,1,16,0.4,0.001,0.741622798590357,0.937885416666667,0.9396269374679135,0.8730450509083125
104,No,1,16,0.4,0.01,0.14270503151390546,0.1580833333333335,0.15821920785107454,0.15300252423277116
105,No,1,32,0.0,0.0,0.008830896978445545,0.9506458333333335,0.9584917933992357,0.6393228412370049
106,No,1,32,0.0,1e-05,0.16940967043705463,0.9453333333333337,0.9517996536000446,0.688847552456811
107,No,1,32,0.0,0.0001,0.5094297662988262,0.9380000000000003,0.9415815862985918,0.7963371175324728
108,No,1,32,0.0,0.001,0.6535210650777538,0.9322187499999999,0.9345749050516061,0.8401049067097865
109,No,1,32,0.0,0.01,0.7426368598652466,0.9137604166666666,0.9152375853897157,0.8572116206405429
110,No,1,32,0.2,0.0,0.00417337627482555,0.9434166666666669,0.9512464183004617,0.6329454870806513
111,No,1,32,0.2,1e-05,0.3644892856428059,0.9444583333333335,0.9493312366648089,0.7527596185469828
112,No,1,32,0.2,0.0001,0.6517871637935645,0.9423333333333336,0.9448156955079001,0.8463120642115994
113,No,1,32,0.2,0.001,0.7978407473921804,0.9419270833333335,0.9431967368998939,0.8943215225418025
114,No,1,32,0.2,0.01,0.78008135731469,0.913,0.9141451239037921,0.8690754937394941
115,No,1,32,0.4,0.0,0.00743921873208715,0.943875,0.951675078745445,0.6343297658258441
116,No,1,32,0.4,1e-05,0.3531385586073062,0.9454062500000003,0.9503716223262382,0.7496388103111816
117,No,1,32,0.4,0.0001,0.6114073913886076,0.9442812500000001,0.9470718654698264,0.8342535022861446
118,No,1,32,0.4,0.001,0.8447880879912705,0.9419583333333337,0.9428200614761875,0.9098554942669305
119,No,1,32,0.4,0.01,0.46728029749155986,0.5378125,0.5384254604476916,0.5145060859797504
120,No,1,64,0.0,0.0,0.0013297872340425532,0.9472916666666671,0.9551704189560686,0.6345972909522594
121,No,1,64,0.0,1e-05,0.16090415333388777,0.9470000000000004,0.9535233667922842,0.6871425067087241
122,No,1,64,0.0,0.0001,0.688588105215006,0.9417395833333336,0.9438690081969477,0.8580655655817625
123,No,1,64,0.0,0.001,0.739234344576811,0.9328229166666666,0.9345239965112091,0.8688604192515622
124,No,1,64,0.0,0.01,0.7728500931624643,0.9084270833333336,0.9096058964573505,0.8636276909843827
125,No,1,64,0.2,0.0,0.004629629629629629,0.9452500000000003,0.9530950409471618,0.6343248901922639
126,No,1,64,0.2,1e-05,0.515313538584987,0.9421979166666667,0.9458112881068215,0.8011075811194918
127,No,1,64,0.2,0.0001,0.7110532325027826,0.9448541666666669,0.9468543551590656,0.8675872514428384
128,No,1,64,0.2,0.001,0.7782644394687317,0.9405729166666671,0.9420000624398349,0.8869458061917445
129,No,1,64,0.2,0.01,0.745885709645773,0.8102291666666668,0.8108192921577887,0.7889780561567429
130,No,1,64,0.4,0.0,0.0013736263736263737,0.944479166666667,0.952338118191098,0.6327303037437971
131,No,1,64,0.4,1e-05,0.5644590081975784,0.9463125000000003,0.9495533942662464,0.8201083008212752
132,No,1,64,0.4,0.0001,0.6819310204131052,0.9432083333333335,0.9454557748161955,0.8568650428542114
133,No,1,64,0.4,0.001,0.8175083353706465,0.9423645833333334,0.9434824708868645,0.9011184631969481
134,No,1,64,0.4,0.01,0.7171750674650674,0.7521249999999999,0.7524448255312867,0.7405816309987846
135,No,2,16,0.0,0.0,0.0010869565217391304,0.9480000000000003,0.9558866891815786,0.6349912152344394
136,No,2,16,0.0,1e-05,0.07788703671912135,0.9448541666666668,0.952125018893309,0.658288740759699
137,No,2,16,0.0,0.0001,0.6060620246916016,0.9405312500000003,0.9433228049018555,0.8299720265311525
138,No,2,16,0.0,0.001,0.5317667683349442,0.7700104166666667,0.7719975971007669,0.6912582607007925
139,No,2,16,0.0,0.01,0.0,0.0,0.0,0.0
140,No,2,16,0.2,0.0,0.14397689768976896,0.9435625000000002,0.9503383771509035,0.6792925916135575
141,No,2,16,0.2,1e-05,0.2899904089556288,0.9415520833333336,0.9469581104663476,0.7261668675851034
142,No,2,16,0.2,0.0001,0.8340918909923971,0.9423750000000002,0.9433236298831451,0.9065968402918475
143,No,2,16,0.2,0.001,0.5103426460949366,0.6235937500000002,0.6245929745755991,0.5861764568901786
144,No,2,16,0.2,0.01,0.0,0.0,0.0,0.0
145,No,2,16,0.4,0.0,0.3296794383085725,0.9323958333333335,0.9374217456883073,0.7331656724434045
146,No,2,16,0.4,1e-05,0.8188009777583893,0.9418750000000004,0.9429465920102894,0.9012075232562263
147,No,2,16,0.4,0.0001,0.7193394123774639,0.9157291666666667,0.9173670168189033,0.850811865287678
148,No,2,16,0.4,0.001,0.0960011114517164,0.1171458333333334,0.11733421799952899,0.11016038759485959
149,No,2,16,0.4,0.01,0.0,0.0,0.0,0.0
150,No,2,32,0.0,0.0,0.0011904761904761906,0.943875,0.9517261811364701,0.6322638857756487
151,No,2,32,0.0,1e-05,0.031249507539796145,0.9451770833333335,0.9527992561930251,0.6430752823553849
152,No,2,32,0.0,0.0001,0.6970596370423644,0.9427708333333336,0.9448358416186874,0.8615554373314618
153,No,2,32,0.0,0.001,0.5365306398311988,0.8057604166666668,0.80801949901062,0.7167701851694952
154,No,2,32,0.0,0.01,0.0,0.0,0.0,0.0
155,No,2,32,0.2,0.0,0.0,0.946885416666667,0.9547726258556257,0.6338860141740975
156,No,2,32,0.2,1e-05,0.14379308275407413,0.9421562500000003,0.9489112329722288,0.6782868552421011
157,No,2,32,0.2,0.0001,0.728322788753175,0.9435208333333336,0.9453734129086017,0.8724056783317033
158,No,2,32,0.2,0.001,0.5223145790713637,0.6864375000000003,0.6878198030416915,0.6321906273710185
159,No,2,32,0.2,0.01,0.0,0.0,0.0,0.0
160,No,2,32,0.4,0.0,0.0,0.9403020833333335,0.9481329472469927,0.6294783435267753
161,No,2,32,0.4,1e-05,0.7218786593969012,0.944635416666667,0.9465166382535627,0.8710102381057103
162,No,2,32,0.4,0.0001,0.7472843543273227,0.9447708333333336,0.9464744242162539,0.8795098706256367
163,No,2,32,0.4,0.001,0.23947254208906876,0.2573333333333334,0.25748681235336557,0.2514308959252559
164,No,2,32,0.4,0.01,0.0,0.0,0.0,0.0
165,No,2,64,0.0,0.0,0.0,0.9445416666666671,0.9524085732966521,0.6323167466544397
166,No,2,64,0.0,1e-05,0.03182581553345087,0.9477187500000003,0.955349733277049,0.6449647662701667
167,No,2,64,0.0,0.0001,0.621058035831516,0.9400208333333335,0.9427440499261435,0.8346076396969977
168,No,2,64,0.0,0.001,0.5976181676971726,0.8671979166666667,0.869432824344804,0.7780829695695477
169,No,2,64,0.0,0.01,0.0,0.0,0.0,0.0
170,No,2,64,0.2,0.0,0.0,0.943635416666667,0.9514987209022308,0.6317113791896326
171,No,2,64,0.2,1e-05,0.32874628742739953,0.9418437500000003,0.946958183157797,0.7391827401950656
172,No,2,64,0.2,0.0001,0.7231395912337041,0.9439687500000002,0.9458554610289978,0.8709879340875674
173,No,2,64,0.2,0.001,0.7228072485422665,0.9355833333333335,0.9374222203843023,0.8652709340866341
174,No,2,64,0.2,0.01,0.0,0.0,0.0,0.0
175,No,2,64,0.4,0.0,0.0,0.941760416666667,0.9496057491419339,0.6304553886028669
176,No,2,64,0.4,1e-05,0.7093041890012058,0.9433020833333335,0.9452468155176736,0.8659510292840711
177,No,2,64,0.4,0.0001,0.732540630384425,0.94415625,0.9460121671904451,0.8742363491916234
178,No,2,64,0.4,0.001,0.3969407594432782,0.47689583333333335,0.47755136214318217,0.45046265163993127
179,No,2,64,0.4,0.01,0.0,0.0,0.0,0.0
